import time: self [us] | cumulative | imported package
import time:        67 |       5724 |       MDAnalysis.core.groups
import time:       389 |       6113 |     MDAnalysis.lib.NeighborSearch
import time:       348 |        348 |         MDAnalysis.lib.formats.cython_util
import time:       850 |       1198 |       MDAnalysis.lib.formats.libmdaxdr
import time:       521 |        521 |       MDAnalysis.lib.formats.libdcd
import time:       298 |       2015 |     MDAnalysis.lib.formats
import time:       585 |        585 |           scipy.__config__
import time:       131 |        131 |           scipy.version
import time:        38 |         38 |             scipy._distributor_init_local
import time:       190 |        227 |           scipy._distributor_init
import time:        94 |         94 |               cython
import time:       457 |        550 |             scipy._lib._testutils
import time:       197 |        747 |           scipy._lib
import time:      2130 |       2130 |           scipy._lib._pep440
import time:       339 |        339 |               scipy._cyutility
import time:       496 |        834 |             scipy._lib._ccallback_c
import time:       246 |       1079 |           scipy._lib._ccallback
import time:       616 |       5512 |         scipy
import time:       793 |        793 |                             scipy._lib.array_api_compat.common._typing
import time:       411 |       1204 |                           scipy._lib.array_api_compat.common._helpers
import time:       154 |       1357 |                         scipy._lib.array_api_compat.common
import time:       122 |       1479 |                       scipy._lib.array_api_compat
import time:       125 |        125 |                         scipy._lib.array_api_compat._internal
import time:       113 |        113 |                         numpy.rec
import time:      1115 |       1115 |                           numpy._core.strings
import time:       120 |       1235 |                         numpy.strings
import time:       191 |        191 |                           numpy.f2py.diagnose
import time:       116 |        116 |                             numpy.f2py._backends
import time:       152 |        152 |                             numpy.f2py.__version__
import time:       240 |        240 |                               numpy.f2py.cfuncs
import time:       816 |       1056 |                             numpy.f2py.auxfuncs
import time:      1456 |       1456 |                               numpy.f2py.cb_rules
import time:       224 |        224 |                               numpy.f2py._isocbind
import time:       288 |        288 |                                 fileinput
import time:       304 |        304 |                                       81d243bd2c585b0f4821__mypyc
import time:      1115 |       1115 |                                       charset_normalizer.constant
import time:       186 |        186 |                                         _multibytecodec
import time:       450 |        636 |                                       charset_normalizer.utils
import time:       339 |        339 |                                       charset_normalizer.models
import time:       456 |       2847 |                                     charset_normalizer.cd
import time:       153 |        153 |                                     _codecs_tw
import time:       151 |        151 |                                     _codecs_hk
import time:       225 |        225 |                                     _codecs_jp
import time:       152 |        152 |                                     _codecs_kr
import time:       152 |        152 |                                     _codecs_cn
import time:       140 |        140 |                                     _codecs_iso2022
import time:     17072 |      20890 |                                   charset_normalizer.api
import time:       142 |        142 |                                   charset_normalizer.legacy
import time:        95 |         95 |                                   charset_normalizer.version
import time:       227 |      21352 |                                 charset_normalizer
import time:      1233 |       1233 |                                 numpy.f2py.symbolic
import time:     11384 |      34255 |                               numpy.f2py.crackfortran
import time:       587 |      36522 |                             numpy.f2py.capi_maps
import time:       199 |        199 |                               numpy.f2py.func2subr
import time:       265 |        464 |                             numpy.f2py.f90mod_rules
import time:       155 |        155 |                               numpy.f2py.common_rules
import time:       129 |        129 |                               numpy.f2py.use_rules
import time:      4151 |       4434 |                             numpy.f2py.rules
import time:       425 |      43166 |                           numpy.f2py.f2py2e
import time:       191 |      43547 |                         numpy.f2py
import time:       398 |        398 |                           numpy.ctypeslib._ctypeslib
import time:       139 |        537 |                         numpy.ctypeslib
import time:       144 |        144 |                           numpy.core._utils
import time:       138 |        281 |                         numpy.core
import time:       487 |        487 |                               numpy.random._common
import time:       251 |        251 |                                 hmac
import time:       418 |        669 |                               secrets
import time:       519 |       1674 |                             numpy.random.bit_generator
import time:       299 |       1972 |                           numpy.random._bounded_integers
import time:       284 |        284 |                               numpy.random._pcg64
import time:      1466 |       1750 |                             numpy.random._generator
import time:       247 |        247 |                             numpy.random._mt19937
import time:       261 |        261 |                             numpy.random._philox
import time:       219 |        219 |                             numpy.random._sfc64
import time:      1346 |       1346 |                             numpy.random.mtrand
import time:       211 |       4030 |                           numpy.random._pickle
import time:       188 |       6190 |                         numpy.random
import time:       449 |        449 |                           numpy._core.defchararray
import time:       160 |        608 |                         numpy.char
import time:       183 |        183 |                             numpy.polynomial.polyutils
import time:       338 |        338 |                             numpy.polynomial._polybase
import time:       420 |        939 |                           numpy.polynomial.chebyshev
import time:       249 |        249 |                           numpy.polynomial.hermite
import time:       223 |        223 |                           numpy.polynomial.hermite_e
import time:       244 |        244 |                           numpy.polynomial.laguerre
import time:       244 |        244 |                           numpy.polynomial.legendre
import time:       368 |        368 |                           numpy.polynomial.polynomial
import time:       214 |       2478 |                         numpy.polynomial
import time:      8364 |       8364 |                           numpy.ma.core
import time:      1160 |       1160 |                           numpy.ma.extras
import time:       265 |       9789 |                         numpy.ma
import time:       508 |        508 |                           numpy.fft._helper
import time:       422 |        422 |                             numpy.fft._pocketfft_umath
import time:       618 |       1039 |                           numpy.fft._pocketfft
import time:       261 |       1808 |                         numpy.fft
import time:       682 |        682 |                           scipy._lib.array_api_compat.common._aliases
import time:       155 |        155 |                           scipy._lib.array_api_compat.numpy._typing
import time:      1420 |       2256 |                         scipy._lib.array_api_compat.numpy._aliases
import time:       172 |        172 |                         scipy._lib.array_api_compat.numpy._info
import time:       680 |        680 |                           scipy._lib.array_api_compat.common._linalg
import time:       541 |       1220 |                         scipy._lib.array_api_compat.numpy.linalg
import time:       164 |        164 |                           scipy._lib.array_api_compat.common._fft
import time:      1247 |       1411 |                         scipy._lib.array_api_compat.numpy.fft
import time:      1039 |      72800 |                       scipy._lib.array_api_compat.numpy
import time:       102 |        102 |                             scipy._lib.array_api_extra._lib
import time:       123 |        123 |                                 scipy._lib.array_api_extra._lib._utils
import time:       113 |        113 |                                       scipy._lib._sparse
import time:       342 |        454 |                                     scipy._lib._array_api_override
import time:       150 |        603 |                                   scipy._lib._array_api_compat_vendor
import time:       242 |        844 |                                 scipy._lib.array_api_extra._lib._utils._compat
import time:       198 |        198 |                                   scipy._lib.array_api_extra._lib._utils._typing
import time:       364 |        561 |                                 scipy._lib.array_api_extra._lib._utils._helpers
import time:       424 |       1951 |                               scipy._lib.array_api_extra._lib._at
import time:       320 |       2271 |                             scipy._lib.array_api_extra._lib._funcs
import time:       416 |       2788 |                           scipy._lib.array_api_extra._delegation
import time:       189 |        189 |                           scipy._lib.array_api_extra._lib._lazy
import time:       180 |       3156 |                         scipy._lib.array_api_extra
import time:       292 |       3447 |                       scipy._lib.array_api_extra.testing
import time:       510 |        510 |                           pkgutil
import time:      1253 |       1762 |                         pydoc
import time:      1201 |       2962 |                       scipy._lib._docscrape
import time:       843 |      81530 |                     scipy._lib._array_api
import time:       922 |      82451 |                   scipy._lib._util
import time:      1166 |      83617 |                 scipy.sparse._sputils
import time:       230 |        230 |                 scipy.sparse._matrix
import time:       548 |      84393 |               scipy.sparse._base
import time:       232 |        232 |                 scipy.sparse._sparsetools
import time:       375 |        375 |                   scipy.sparse._data
import time:       194 |        194 |                   scipy.sparse._index
import time:       440 |       1007 |                 scipy.sparse._compressed
import time:       311 |       1549 |               scipy.sparse._csr
import time:       246 |        246 |               scipy.sparse._csc
import time:       706 |        706 |                 scipy.sparse._csparsetools
import time:       335 |       1041 |               scipy.sparse._lil
import time:       446 |        446 |               scipy.sparse._dok
import time:       531 |        531 |               scipy.sparse._coo
import time:       277 |        277 |               scipy.sparse._dia
import time:       375 |        375 |               scipy.sparse._bsr
import time:       178 |        178 |                 scipy._lib.deprecation
import time:      1990 |       2167 |               scipy.sparse._construct
import time:       130 |        130 |               scipy.sparse._extract
import time:       119 |        119 |               scipy.sparse._matrix_io
import time:        97 |         97 |               scipy.sparse.base
import time:        97 |         97 |               scipy.sparse.bsr
import time:       100 |        100 |               scipy.sparse.compressed
import time:        97 |         97 |               scipy.sparse.construct
import time:        92 |         92 |               scipy.sparse.coo
import time:        94 |         94 |               scipy.sparse.csc
import time:        84 |         84 |               scipy.sparse.csr
import time:        87 |         87 |               scipy.sparse.data
import time:        84 |         84 |               scipy.sparse.dia
import time:        87 |         87 |               scipy.sparse.dok
import time:        91 |         91 |               scipy.sparse.extract
import time:        90 |         90 |               scipy.sparse.lil
import time:        86 |         86 |               scipy.sparse.sparsetools
import time:        88 |         88 |               scipy.sparse.sputils
import time:       597 |      93134 |             scipy.sparse
import time:       504 |      93637 |           scipy.spatial._ckdtree
import time:       403 |      94040 |         scipy.spatial._kdtree
import time:       272 |        272 |           scipy._lib.messagestream
import time:      2800 |       2800 |                   scipy.linalg._fblas
import time:        56 |         56 |                   scipy.linalg._cblas
import time:       288 |       3144 |                 scipy.linalg.blas
import time:      1497 |       1497 |                   scipy.linalg._flapack
import time:        45 |         45 |                   scipy.linalg._clapack
import time:      1337 |       2877 |                 scipy.linalg.lapack
import time:       298 |       6318 |               scipy.linalg._misc
import time:      1990 |       1990 |                 scipy.linalg.cython_lapack
import time:      1938 |       3928 |               scipy.linalg._cythonized_array_utils
import time:      7466 |       7466 |                 scipy.linalg._decomp
import time:      2913 |       2913 |                 scipy.linalg._decomp_svd
import time:       394 |        394 |                 scipy.linalg._solve_toeplitz
import time:       280 |        280 |                 scipy.linalg._batched_linalg
import time:      5590 |      16640 |               scipy.linalg._basic
import time:       279 |        279 |                 scipy.linalg._decomp_lu_cython
import time:       951 |       1229 |               scipy.linalg._decomp_lu
import time:       959 |        959 |               scipy.linalg._decomp_ldl
import time:      1728 |       1728 |               scipy.linalg._decomp_cholesky
import time:      2044 |       2044 |               scipy.linalg._decomp_qr
import time:      2053 |       2053 |               scipy.linalg._decomp_qz
import time:      1627 |       1627 |               scipy.linalg._decomp_schur
import time:       663 |        663 |               scipy.linalg._decomp_polar
import time:      1130 |       1130 |                 scipy.linalg._expm_frechet
import time:       766 |        766 |                 scipy.linalg._matfuncs_schur_sqrtm
import time:       716 |        716 |                 scipy.linalg._matfuncs_expm
import time:       217 |        217 |                 scipy.linalg._linalg_pythran
import time:      3602 |       6429 |               scipy.linalg._matfuncs
import time:      1811 |       1811 |               scipy.linalg._special_matrices
import time:      1532 |       1532 |               scipy.linalg._solvers
import time:      1306 |       1306 |               scipy.linalg._procrustes
import time:       538 |        538 |                 scipy.linalg.cython_blas
import time:      2896 |       3433 |               scipy.linalg._decomp_update
import time:       969 |        969 |               scipy.linalg._sketches
import time:       280 |        280 |               scipy.linalg._decomp_cossin
import time:       133 |        133 |               scipy.linalg.decomp
import time:       126 |        126 |               scipy.linalg.decomp_cholesky
import time:       127 |        127 |               scipy.linalg.decomp_lu
import time:       116 |        116 |               scipy.linalg.decomp_qr
import time:       117 |        117 |               scipy.linalg.decomp_svd
import time:       118 |        118 |               scipy.linalg.decomp_schur
import time:       119 |        119 |               scipy.linalg.basic
import time:       117 |        117 |               scipy.linalg.misc
import time:      1008 |       1008 |               scipy.linalg.special_matrices
import time:       138 |        138 |               scipy.linalg.matfuncs
import time:      1973 |      57029 |             scipy.linalg
import time:        66 |      57094 |           scipy.linalg.cython_lapack
import time:       848 |      58213 |         scipy.spatial._qhull
import time:       321 |        321 |           scipy.spatial._voronoi
import time:       377 |        698 |         scipy.spatial._spherical_voronoi
import time:       181 |        181 |         scipy.spatial._plotutils
import time:       133 |        133 |         scipy.spatial._procrustes
import time:       260 |        260 |               scipy.special._sf_error
import time:       355 |        355 |                 scipy.special._ufuncs_cxx
import time:       285 |        285 |                 scipy.special._ellip_harm_2
