import time: self [us] | cumulative | imported package
import time:       268 |        391 |             pandas.core.computation.align
import time:       294 |        294 |                 pprint
import time:       253 |        547 |               pandas.core.computation.scope
import time:       365 |        911 |             pandas.core.computation.ops
import time:       193 |       1493 |           pandas.core.computation.engines
import time:       282 |        282 |             pandas.core.computation.parsing
import time:      1057 |       1338 |           pandas.core.computation.expr
import time:       209 |       3040 |         pandas.core.computation.eval
import time:       111 |       3150 |       pandas.core.computation.api
import time:       198 |        198 |         pandas.core.reshape.encoding
import time:       257 |        257 |             _uuid
import time:       458 |        715 |           uuid
import time:       628 |       1343 |         pandas.core.reshape.merge
import time:       251 |        251 |         pandas.core.reshape.pivot
import time:       215 |        215 |         pandas.core.reshape.tile
import time:       182 |       2189 |       pandas.core.reshape.api
import time:       149 |        149 |         pandas.api.executors
import time:       118 |        118 |         pandas.api.extensions
import time:       112 |        112 |         pandas.api.indexers
import time:        91 |         91 |             pandas.core.interchange
import time:      1664 |       1754 |           pandas.core.interchange.dataframe_protocol
import time:       211 |        211 |             pandas.core.interchange.utils
import time:       276 |        486 |           pandas.core.interchange.from_dataframe
import time:       130 |       2368 |         pandas.api.interchange
import time:       118 |        118 |           pandas.core.dtypes.api
import time:       139 |        256 |         pandas.api.types
import time:       746 |        746 |           pandas.core.resample
import time:       259 |        259 |                 pandas._libs.json
import time:       247 |        247 |                 pandas.io.json._normalize
import time:       216 |        216 |                 pandas.io.json._table_schema
import time:       481 |        481 |                       pandas._libs.parsers
import time:       463 |        463 |                         pandas.io.parsers.base_parser
import time:       311 |        774 |                       pandas.io.parsers.arrow_parser_wrapper
import time:       227 |        227 |                       pandas.io.parsers.c_parser_wrapper
import time:       510 |        510 |                       pandas.io.parsers.python_parser
import time:       790 |       2780 |                     pandas.io.parsers.readers
import time:       141 |       2920 |                   pandas.io.parsers
import time:        18 |       2938 |                 pandas.io.parsers.readers
import time:     10245 |      13903 |               pandas.io.json._json
import time:       146 |      14048 |             pandas.io.json
import time:        18 |      14066 |           pandas.io.json._json
import time:       219 |        219 |               pandas.io.sas.sasreader
import time:       140 |        359 |             pandas.io.sas
import time:        17 |        375 |           pandas.io.sas.sasreader
import time:      1141 |       1141 |           pandas.io.stata
import time:       181 |      16507 |         pandas.api.typing
import time:       208 |      19717 |       pandas.api
import time:       124 |        124 |             concurrent
import time:       478 |        478 |                 traceback
import time:        41 |         41 |                 atexit
import time:      1693 |       2211 |               logging
import time:       466 |       2676 |             concurrent.futures._base
import time:       172 |       2971 |           concurrent.futures
import time:       189 |        189 |                 _heapq
import time:       203 |        392 |               heapq
import time:       184 |        184 |               _queue
import time:       309 |        884 |             queue
import time:       227 |       1110 |           concurrent.futures.thread
import time:       183 |        183 |           pandas._testing._io
import time:       160 |        160 |           pandas._testing._warnings
import time:       184 |        184 |               cmath
import time:       353 |        536 |             pandas._libs.testing
import time:       356 |        892 |           pandas._testing.asserters
