import time: self [us] | cumulative | imported package
import time:      1003 |       1003 |             unittest.loader
import time:      1060 |       1060 |                 gettext
import time:      1017 |       2077 |               argparse
import time:       149 |        149 |                 unittest.signals
import time:       320 |        468 |               unittest.runner
import time:       521 |       3065 |             unittest.main
import time:       379 |       9114 |           unittest
import time:       186 |        186 |           numpy.testing._private
import time:       125 |        125 |           numpy.testing.overrides
import time:       519 |        519 |             sysconfig
import time:       274 |        793 |           numpy.testing._private.extbuild
import time:       176 |        176 |             gc
import time:       333 |        333 |                   _json
import time:       522 |        855 |                 json.scanner
import time:       682 |       1536 |               json.decoder
import time:       647 |        647 |               json.encoder
import time:       409 |       2590 |             json
import time:      1167 |       1167 |             _sysconfigdata__linux_x86_64-linux-gnu
import time:      3541 |       7473 |           numpy.testing._private.utils
import time:       242 |      17930 |         numpy.testing
import time:       327 |        327 |         MDAnalysis.lib.picklable_file_io
import time:       417 |        417 |         MDAnalysis.lib._cutil
import time:      2338 |      36013 |       MDAnalysis.lib.util
import time:       489 |        489 |           numpy._typing._add_docstring
import time:       206 |        694 |         numpy.typing
import time:       302 |        995 |       MDAnalysis.lib.mdamath
import time:       283 |        283 |       _transformations
import time:       748 |     172351 |     MDAnalysis.lib.transformations
import time:       476 |        476 |       MDAnalysis.lib._augment
import time:       344 |        344 |       MDAnalysis.lib.nsgrid
import time:       320 |        320 |       MDAnalysis.lib.c_distances
import time:       169 |        169 |           packaging
import time:       155 |        155 |           packaging._structures
import time:      2895 |       3217 |         packaging.version
import time:       138 |        138 |         distopia
import time:       294 |       3648 |       MDAnalysis.lib._distopia
import time:      1437 |       6223 |     MDAnalysis.lib.distances
import time:       239 |        239 |             MDAnalysis.core.accessors
import time:       542 |        542 |               MDAnalysis.selections.base
import time:       186 |        186 |               MDAnalysis.selections.vmd
import time:       159 |        159 |               MDAnalysis.selections.pymol
import time:       155 |        155 |               MDAnalysis.selections.gromacs
import time:       144 |        144 |               MDAnalysis.selections.charmm
import time:       148 |        148 |               MDAnalysis.selections.jmol
